"","Date","region","total confirmed cases","new cases","interventions"
"230",2020-02-19,"ACT",0,0,NA
"231",2020-02-19,"NT",0,0,NA
"232",2020-02-19,"QLD",5,0,NA
"233",2020-02-19,"TAS",0,0,NA
"234",2020-02-19,"AUS",14,0,NA
"235",2020-02-20,"NSW",3,0,NA
"236",2020-02-20,"WA",0,0,NA
"237",2020-02-20,"VIC",4,0,NA
"238",2020-02-20,"SA",2,0,NA
"239",2020-02-20,"ACT",0,0,NA
"240",2020-02-20,"NT",0,0,NA
"241",2020-02-20,"QLD",5,0,NA
"242",2020-02-20,"TAS",0,0,NA
"243",2020-02-20,"AUS",14,0,NA
"244",2020-02-21,"NSW",3,0,NA
"245",2020-02-21,"WA",1,1,NA
"246",2020-02-21,"VIC",4,0,NA
"247",2020-02-21,"SA",2,0,NA
"248",2020-02-21,"ACT",0,0,NA
"249",2020-02-21,"NT",0,0,NA
"250",2020-02-21,"QLD",5,0,NA
"251",2020-02-21,"TAS",0,0,NA
"252",2020-02-21,"AUS",15,1,NA
"253",2020-02-22,"NSW",3,0,NA
"254",2020-02-22,"WA",1,0,NA
"255",2020-02-22,"VIC",4,0,NA
"256",2020-02-22,"SA",2,0,NA
"257",2020-02-22,"ACT",0,0,NA
"258",2020-02-22,"NT",7,7,NA
"259",2020-02-22,"QLD",7,2,NA
"260",2020-02-22,"TAS",0,0,NA
"261",2020-02-22,"AUS",24,9,NA
"262",2020-02-23,"NSW",3,0,NA
"263",2020-02-23,"WA",1,0,NA
"264",2020-02-23,"VIC",4,0,NA
"265",2020-02-23,"SA",2,0,NA
"266",2020-02-23,"ACT",0,0,NA
"267",2020-02-23,"NT",7,0,NA
"268",2020-02-23,"QLD",7,0,NA
"269",2020-02-23,"TAS",0,0,NA
"270",2020-02-23,"AUS",24,0,NA
"271",2020-02-24,"NSW",3,0,NA
"272",2020-02-24,"WA",1,0,NA
"273",2020-02-24,"VIC",4,0,NA
"274",2020-02-24,"SA",2,0,NA
"275",2020-02-24,"ACT",0,0,NA
"276",2020-02-24,"NT",7,0,NA
"277",2020-02-24,"QLD",7,0,NA
"278",2020-02-24,"TAS",0,0,NA
"279",2020-02-24,"AUS",24,0,NA
"280",2020-02-25,"NSW",3,0,NA
"281",2020-02-25,"WA",1,0,NA
"282",2020-02-25,"VIC",4,0,NA
"283",2020-02-25,"SA",2,0,NA
"284",2020-02-25,"ACT",0,0,NA
"285",2020-02-25,"NT",7,0,NA
"286",2020-02-25,"QLD",7,0,NA
"287",2020-02-25,"TAS",0,0,NA
"288",2020-02-25,"AUS",24,0,NA
"289",2020-02-26,"NSW",4,1,NA
"290",2020-02-26,"WA",1,0,NA
"291",2020-02-26,"VIC",4,0,NA
"292",2020-02-26,"SA",2,0,NA
"293",2020-02-26,"ACT",0,0,NA
"294",2020-02-26,"NT",7,0,NA
"295",2020-02-26,"QLD",7,0,NA
"296",2020-02-26,"TAS",0,0,NA
"297",2020-02-26,"AUS",25,1,NA
"298",2020-02-27,"NSW",4,0,NA
"299",2020-02-27,"WA",1,0,NA
"300",2020-02-27,"VIC",4,0,NA
"301",2020-02-27,"SA",2,0,NA
"302",2020-02-27,"ACT",0,0,NA
"303",2020-02-27,"NT",7,0,NA
"304",2020-02-27,"QLD",7,0,NA
"305",2020-02-27,"TAS",0,0,NA
"306",2020-02-27,"AUS",25,0,NA
"307",2020-02-28,"NSW",4,0,NA
"308",2020-02-28,"WA",1,0,NA
"309",2020-02-28,"VIC",4,0,NA
"310",2020-02-28,"SA",2,0,NA
"311",2020-02-28,"ACT",0,0,NA
"312",2020-02-28,"NT",7,0,NA
"313",2020-02-28,"QLD",7,0,NA
"314",2020-02-28,"TAS",0,0,NA
"315",2020-02-28,"AUS",25,0,NA
"316",2020-02-29,"NSW",4,0,NA
"317",2020-02-29,"WA",1,0,NA
"318",2020-02-29,"VIC",4,0,NA
"319",2020-02-29,"SA",2,0,NA
"320",2020-02-29,"ACT",0,0,NA
"321",2020-02-29,"NT",7,0,NA
"322",2020-02-29,"QLD",9,2,NA
"323",2020-02-29,"TAS",0,0,NA
"324",2020-02-29,"AUS",27,2,NA
"325",2020-03-01,"NSW",6,2,NA
